,english,arabic,sts
27,"An electrician to install the wiring on a pole at the surface.
",استقل رجل المصعد إلى السطح,1.800000
28,"The girl in the second part runs smiling, while she carries her sister's towel.
",فتاة صغيرة تلعب مع صديقها لعبة الملابس التنكرية في الشرفة,2.000000
29,"The man smashed their scooter.
",رجل يقود إحدى السيارات ، بينما ينظر إلى شاحنة,1.000000
30,"Kids playing balloons, sitting on top of a guy wearing a banana uniform.
",امرأة ترتدي ملابس وردية وسوداء لديها وشم كبير على ظهرها,0.200000
31,"Soldiers march in front of Phil.
",رقيب يقود قواته في تشكيل داخل غرفة كبيرة مع الكثير من الأعلام في الخلفية,2.600000
32,"A girl with a broken ankle.
",الفتاة بدون أرجل,0.800000
33,"A woman in a white shirt sits in a park surrounded by posters.
",يجلس رجل مرتديا لباسا أسود على مقعد في الحديقة بجانب لوحة كبيرة,1.200000
34,"Imagine drawings on the wall with children drawing words ""Brick City"" on the wall.
",رسم بعض الفنون على أحد الجدران,3.000000
35,"He paints a painter on the clothes.
",ملابس الطفل بها لون أبيض,1.200000
36,"Middle Eastern men bring fish in a kitchen.
", امرأتان في مطبخ تحضران الخضار في مقلاة,1.000000
37,"He plays a dog in his game.
",يلعب كلب بلعبته,5.000000
38,"The girl has a beer.
",تحمل المرأة جعة,3.400000
39,"A man cuts something with a knife.
",يفرم رجل شيئا ما على الطاولة بالسكين,4.400000
40,"Seven men are praying in a church.
",شخصان يصليان خارج المعبد,2.400000
41,"The man is near two kids.
",الصبي بالقرب من أطفال آخرين,2.200000
42,"The boy wears a red shirt.
",يرتدي الصبي قميصا أصفر,3.200000
43,"Two boys walk in a parade.
",يسير الموسيقيون ضمن موكب,2.800000
44,"A woman sitting on the beach.
",تجلس امرأة على الشاطئ,5.000000
45,"Kids playing outside.
",أطفال يلعبون في الخارج,5.000000
46,"The kid was crying because he was hungry.
",لا يبكي الطفل,1.400000
47,"The dog comes out in the middle of the field.
",يركض الكلب في الحقل,2.600000
48,"Two people sit next to a big building, where they were talking.
",رجلان بجانب مبنى,3.800000
49,"A red-headed kid jumps on something red, while others laugh.
",يبدأ رجل بدون قميص بالقفز من جانب الطبل وسط مجموعة من الطبول الأخرى,1.600000
50,"There's no woman on the street wearing green.
",يمشي الرجل على الشارع مرتديا سترة بيضاء,0.600000
51,"The two men carry a slogan addressed to the President
",يقف ثلاثة رجال أمام إشارة عليها العلم الأمريكي,2.000000
52,"There's a rock worker at one of the airports.
",يتواجد رجل في إحدى المحطات,0.600000
53,"The kid sweats on the beach.
",الطفل على الشاطئ,4.000000
54,"People are sleeping on the couch.
",الناس نيام على الأريكة,5.000000
55,"Gray dog running out.
",كلب أبيض يركض في الخارج,3.600000
56,"A woman in a winter coat.
",امرأة مرتدية معطفا كبيرا,4.000000
57,"Hold a woman with her baby.
",تمسك فتاة بيد أمها,3.800000
58,"People take pictures of one elephant.
",مجموعة من الناس يلتقطون صورا,3.200000
59,"The bike driver after the race.
",يفوز في السباق شخص على دراجة BMX ,2.000000
60,"The yellow bag is empty.
",الحقيبة صفراء,3.400000
61,"Young man with muffins.
",تعد امرأة فطورا لها ولصديقها,0.400000
62,"Crowds gather at the Times Square.
",يجتمع حشد من الناس في ساحة التايمز,5.000000
63,"A cold dog in one of the pools.
",كلب ينفض الماء بعد السباحة في البركة,2.200000
64,"A group of people, most of them hats made of straw, stand in the clear between green lands.
",تقف مجموعة من الناس ، أغلبهم بقبعات مصنوعة من القش ، في الخلاء بين الأراضي الخضراء,4.600000
65,"The waiter's a drink.
",يقطع رجل شيئا ما في المطبخ,0.200000
66,"Two dogs chasing a rabbit.
",قطتان تطاردان أرنبا,1.800000
67,"The dog flies through the air on the plane.
",يحلق الكلب في الهواء,4.000000
68,"Stitching a woman with a torn piece.
",تستخدم امرأة آلة للخياطة,3.200000
69,"People shop for Christmas for their fellow workers.
",يتسوق الناس لشراء هدايا لعيد الميلاد,4.200000
70,"A little boy wearing a little hat on a green grass, with land leaves on the floor, is about to take a nap.
",فتاتان صغيرتان تأكلان الذرة على ظهر جواد قصير الأرجل ،على الرصيف ، بدون أحذية,0.000000
71,"People shop in the open air.
",الناس يتسوقون,4.200000
72,"He plays a man wearing a leather jacket.
",يعزف على آلة السكسيفون رجل يرتدي سترة حمراء في الخارج,2.000000
73,"A man takes out the trash.
",رجل يجمع كل القمامة,3.800000
74,"A man lying on the floor.
",رجل يستلقي على الأرض في الخارج,4.200000
75,"Number of people under the rain
",الناس تحت المطر,5.000000
76,"The band plays eight songs in the spotlight.
",الفرقة تعزف تحت الأضواء,4.200000
77,"Spectators are watching the play that's offered.
",تحصل الجوقة على صورها التي تم التقاطها خلال العرض,1.600000
78,"The dough is white.
",الطاولة سميكة,0.000000
79,"Boys playing video games.
",صبيان يلعبان لعبة فيديو,4.600000
80,"A baby inside a railroad tunnel.
",رجل يعبر جسرا مهجورا أمام أحد الأبنية,0.200000
81,"A group of people competes in some kind of enemy contest.
",هناك مجموعة من الناس في مسابقة,3.000000
82,"A little girl applies karate lessons to her brother.
",فتاة تشاهد صديقها يمارس فنون الدفاع عن النفس,1.600000
83,"The boy shook the city guy.
",لا يرتدي الصبي شيئا على رأسه,0.600000
84,"The guy on the beach.
",الرجل على الشاطئ,5.000000
85,"The dog jumped up high.
",يقفز كلب عاليا ، حين يكون بالخارج,4.000000
86,"One time between the blue plaques.
",يستلقي جرو بني على ظهره فوق العشب,0.200000
87,"An old man holding something sharp in his hands.
",رجل معه شيء ما بيده,3.400000
88,"There are people in front of mechanical equipment.
",هناك أشخاص يقفون أمام معدات ميكانيكية,4.600000
89,"Two dogs run towards their mate.
",يركض كلبان إلى صاحبهما,5.000000
90,"Two brothers dealing with food.
",أشخاص يسرقون الطعام من بائع المواد الغذائية المتجول,1.600000
91,"Baseball player is white.
",هناك لاعب بيسبول يرتدي اللون الأبيض,1.800000
92,"The guy pulls a gun to steal the seller's mattress.
",يحاول رجل إخماد حريق صغير,0.200000
93,"People watch a professional show to play with fire.
",بعض الأطفال يلعبون لعبة في الخارج,0.200000
94,"A girl who sees the pink is riding a pony.
",فتاة تمتطي مهرا,3.800000
95,"A guy doing trick-or-treating on a bike.
",صبي يقوم بعمل حيل الدراجة,3.400000
96,"A man wearing a bathing cap and bathing suit jumps into the pool, while other men look at him.
",عامل على السلم يرتدي خوذة فولاذية وسترة ، في حين يعمل رجال آخرون في الأسفل ,0.200000
97,"Someone's going swimming in the ocean.
",شخص ما يسبح في المحيط,4.400000
98,"It's sunny outside.
",الجو بارد في الخارج,1.400000
99,"A man and a woman can't see each other.
",يبحث الرجل عن شخص ما ,1.800000
100,"There's a man waiting in the subway.
",رجل ينظر إلى ساعته أثناء انتظاره مترو الانفاق,3.400000
101,"A 20-foot air bubble.
",متسلق يتسلق في الظلام,0.200000
102,"A naked man sitting on the couch.
",رجل يجلس على الأريكة,2.800000
103,"A man sculpted a sculpture of ice.
",رجل يصنع أشكالا فنية من الجليد,4.800000
104,"Fire is part of the supply of street land.
",الشخص يعرض في الشارع,2.400000
105,"Kids jump on the beach and they're looking for oysters.
",ثلاثة أطفال ينظرون إلى الأسماك النافقة الطافية فوق مياه المحيط,1.200000
106,"A man with a black leather jacket in a movie.
",رجل ذو سترة جلدية سوداء,2.400000
107,"Guy wasn't wearing a shirt, but he was wearing jeans.
",كان الرجل يرتدي السراويل,2.200000
108,"An old man is sitting.
",رجل عجوز جالس,5.000000
109,"A boy like a bike.
",شخص يسير الكلب، والطفل يركب لوح التزلج,0.200000
110,"Some people were playing sports, and one man was injured.
",مجموعة رجال من الأصدقاء المقربين ، لديهم مباراة ليلية,0.800000
111,"A lady standing on the shoulders of a tall man.
",رجل يتحدث أمام سيدة تجلس وراء طاولة ,0.600000
112,"A man watching another man playing a game.
",طفل يلعب في بسيارة ويجيلز، ورجل يراقبه ,1.600000
113,"A kid with a rainbow trouser pays a toy wagon.
",فتاة بقميص مقلم تجلس على دراجة هوائية,1.800000
114,"There was no bike.
",لا أحد على دراجة,2.600000
115,"A bunch of people are getting ready for a swim.
",مجموعة من الناس تستعد للسباحة,5.000000
116,"Couple in Paris.
",الرجلان والمرأة كانوا يتسوقون من أجل العشاء,1.000000
117,"Someone lying on a wall.
",شخص مستلقٍ على الرصيف ,2.200000
118,"Two men playing with nails, but without wood.
",تلعب امرأتان لعبة بالعصي وكرة صغيرة بيضاء ,0.400000
119,"The man moves the couch.
",الرجل يتحرك,2.000000
120,"Tourists in Rome admired Trevor's fountain.
",يشاهد السياح في روما المنحوتات,3.400000
121,"A blonde woman appearing in front of an airport.
",امرأة غير متكلفة,3.800000
122,"He works with another employee.
", مدير يتحدث إلى أحد العاملين عنده ,3.000000
123,"Stop the guy near the Nebraska sign.
",الرجل بالقرب من المنشار,1.600000
124,"A teenage boy is jumping on a inflatable farm.
",صبي يثب على ترامبولين ,1.400000
125,"Someone kept playing for 12 hours.
",هناك أرض يأتي إليها جميع الأطفال ويجلسون على شكل حلقة قبل بداية المباراة,0.400000
126,"A man in a ghost costume likes music playing rough.
",رجل يعزف على غيتاره، مرتديا زيا تقليديا,1.600000
127,"A boy and his happiness balance a plate of gold.
",صبي هو يحقق توازن طبق من ذهب,4.400000
128,"A girl who wears colors dancing abroad.
",فتاة صغيرة ترتدي ورديا ، ترقص على الرصيف,3.600000
129,"A bird sitting on the power wire.
",رجل بجوار إشارة المرور,0.200000
130,"A bunch of kids swimming in a swimming pool.
",مجموعة من النساء تسبحن في مَسْبَح,1.800000
131,"Someone writes something on a book.
",شخص ما يفتح كتابا,1.600000
132,"Some guy cleans windows in there.
",ينام شخص ما على الأرض الطوبية,0.200000
133,"Girls hold their fingers in V shape.
",رجل وامرأة يقفان بجوار شجرة عيد الميلاد وأيديهما على ذقونهما ,0.600000
134,"People get away from foreigners.
",الناس في الخارج يلوذون بالفرار ,3.600000
135,"He plays the guy to mobilize people.
",امرأة تعزف لحشد من الناس ,1.800000
136,"A little boy climbs a bush in the middle of the city.
",فتاة تتأمل على قمة صخرة عالية في وسط غابة,1.000000
137,"This woman watches TV while she's waiting for food.
",عائلة تشاهد التلفاز معا,2.200000
138,"A bunch of guys talking.
",الرجل موجود مع مجموعة من الأصدقاء,3.800000
139,"Men eat something.
",شخصان ينقلان منصة إلى مكان جديد ,3.200000
140,"Kids in uniform are at a party.
",الرجال والنساء جميعهم يرتدون ملابس أنيقة لحفلة فاخرة ,1.800000
141,"A lot of people walk down the street.
",بعض الناس يسيرون في أحد شوارع المدينة,3.400000
142,"A woman walks by a peddler on the streets.
",امرأة تسير بجانب مطعم يقدم الوجبات السريعة,2.800000
143,"A child sits on a stone wall.
",يجلس طفل على جدار حجري في فصل الخريف,4.000000
144,"Chasing a giant mouse, two women to bite.
",دخلت امرأتان في معركة مع القط,0.800000
145,"Young people take pictures from the air.
",هناك فتيات تلتقطن صورا,2.600000
146,"A kid and her father take pictures while they park in the park.
", اصطحبت طفلة بواسطة والدها إلى نزهة في حديقة ,4.000000
147,"The building's outside.
",يعمل طاقم البناء في الخارج ,2.400000
148,"The surfer wears a black diving suit.
",رجل في بذلة غواصين سوداء يركب الأمواج علي لوح ركوب أمواج أخضر,3.600000
149,"The guy's out there next to the bus sign.
",تعبر امرأة الشارع ، رؤية الكاميرا هي من بين حافلتين,0.800000
150,"There's a dog in the picture.
",هناك كلب في الصورة,5.000000
151,"Two boys wearing swimsuits.
",الفتيات ترتدين التنانير,1.200000
152,"Old lady driving a carriage.
",سيدة مسنة تدفع عربة أطفال,2.800000
153,"A man who plays a French horn to attract attention.
",صبي بسترة يعزف على البوق الفرنسي,2.400000
154,"People play music for a celebration this week.
",يؤدي الناس العرض على خشبة المسرح,3.200000
155,"Ground laborer looking at base base.
",عامل بالحديد يقف بجانب العلم في الجزء العلوي من المبنى الذي يعمل عليه ,1.400000
156,"A man who cuts the fish.
",رجل يقطع السمك,5.000000
157,"Boys caught up in a bike.
", بنتان على دراجة ,1.800000
158,"You play dogs in the open air.
",تلعب الحيوانات في الهواء الطلق,4.000000
159,"You play two drops in the water.
",تلعب الكلاب في الماء,2.400000
160,"Eating a whole spaghetti girl, and you don't have anything to do with her friend.
",رجل وامرأة في المطبخ مع امرأة أخرى وهي تطهي  شيء للطعام,1.200000
161,"There's a male and female inside.
",الذكر مع أنثى صغيرة,3.800000
162,"A bunch of people standing in one of the stores.
",مجموعة مكونة من ثلاثة أشخاص يقفون أمام حوض أسماك فارغ ,1.000000
163,"A guy riding a unicycle.
",رجل يساعد فتاة صغيرة على ركوب دراجة,1.000000
164,"There are people near football.
",بعض الأشخاص يقذفون كرة القدم نحو الشمس,1.200000
165,"A monster came out of the ocean.
", صبي صغير يهرب بعيدا عن موجات المحيط المقتربة ,0.800000
166,"Two young men running thunder down the river.
",إنهم يجدفون أسفل نهر مفضل ,3.000000
167,"Workers removing the street trash.
",العمال خارج العمل في شارع غمرته المياه,3.200000
168,"The girls, the boy and the out-
",الصبي والفتاة يسيرون خارجا ,4.000000
169,"The statue of the bird bears a flower.
",تمتثل المرأة أمام اثنين من تماثيل الفيلة الكبيرة في متحف,0.600000
170,"Two adults fighting in the street after a football game.
",الفتاتان في منتصف اللعبة,0.600000
171,"The cowboy is about to be reeling from the bull.
",مهرج على وشك أن يتم دهسه من قبل ثور,1.800000
172,"A man sits on a chair reading a book.
",رجل يجلس على كرسي يقرأ مجلة,4.000000
173,"A sleeping baby while his mother is pushing him in the baby carriage.
",طفل صغير يركض باتجاه أمه ,1.400000
174,"A bunch of people go running.
", مجموعة من الناس يتحدثون بجانب بعضهم البعض ,1.400000
175,"Factory workers make bottles.
",يعمل عمال المصانع بحزم الصفراء,2.200000
176,"Three men prepare for marathon race.
",رجلان يتدربان استعدادا لسباق مارثون,3.600000
177,"Someone who learns to swim.
",امرأة تتعلم كيفية السباحة,3.800000
178,"People walk as a group abroad.
",مجموعة من الناس يسيرون في الخلاء,5.000000
179,"Two dogs run behind a ball outside.
",كلبان يجريان في الحقل وصحبهما يراقبها,3.200000
180,"A man just came from the sea wearing a diving suit and now he's carrying a box.
",رجل بلا قميص وامرأة في بيكيني في الماء يشيحون بنظرهم بعيدا عن الكاميرا,1.000000
181,"An Asian man is watching a very decorated event in the background of a Chinese sheep.
",زوجان أسيويان يقفان إلى جانب ملصق خيالي,1.800000
182,"A black dog playing a green game.
",يلعب كلب أسود بلعبة حمراء,3.600000
183,"The DJ works at the club.
",جلب الدي جي الكثير من المال للنادي,3.800000
184,"Three people waiting for people next to a stone wall.
",شخصان يعملان علي جدار حجري,2.000000
185,"A man who's completely awake on the train.
",رجل على متن قطاريتطلع من النافذة,3.800000
186,"Someone's fighting you.
",الرجل ليس بالقرب من أي أشخاص,0.200000
187,"A couple plays the water ball on vacation.
",يذهب الولد للسباحة عندما يكون في عطلة,1.000000
188,"The car passed by the people who were reluctant to rain.
",نفثت سيارة سباق الدخان عندما اجتازت خط النهاية,1.200000
189,"A baby looking at her parched image in a puddle of water.
",فتاة تتمرن في الغرفة,0.800000
190,"The guy's testing the target in his new gun.
",رجل يقوم بخدعة على دراجة في الهواء,0.600000
191,"Two kids swing at a busy playground.
",صبيان مراهقان يسيران معا على الرصيف في مدينة,0.800000
192,"A woman drew her face.
",المرأة ترسم وجهها,4.400000
193,"A dog wondering where a mate is.
",صبي صغير يبتسم لكلب يجري نحوه,1.400000
194,"A boy in a warm suit, yellow in black playing with a brown dog wearing a red collar.
",صبي صغير يرتدي سترة زرقاء وحمراء ينبش الأوراق,1.200000
195,"Women play skiing, and one fell in yellow.
",اثنين من الصبية يلعبون لعبة الحصان في فصل الصيف,0.600000
196,"There's a guy eating dinner at a restaurant.
",يتناول زوجان العشاء في أحد المطاعم,2.400000
197,"A crowd in the theater.
",رجل يقف في طابور في صالة السينما,1.600000
198,"We flick the dust off the field plate to see it better.
", السيدات مستعدات لضرب الكرة فور وصولها,0.800000
199,"A girl doing the flip-flops.
",امرأة تقوم بالشقلبة على الترامبولين,3.200000
200,"The guy's not on a motorcycle.
", الرجل على دراجة نارية,1.600000
201,"A teenager sleeping on a mat.
",فتاة تتخطى حبل,0.200000
202,"A world with no microscope to look at.
",هناك عالم ينظر من خلال مجهر,1.400000
203,"Little kid likes a green sports car.
",رجل في ثياب زرقاء على لوح التزلج,0.200000
204,"A lot of men and women get on a farm.
", فتاتان تعدوان خلال العشب في الخريف,2.000000
205,"The girl saw the car.
",تقيأت فتاة في السيارة,1.600000
206,"The guy's gonna be 49 this year.
",هناك شخص واحد فقط في الصورة كلها,0.200000
207,"A man holding a nail.
", رجل يمسك بمزمار,2.800000
208,"A guy wearing a movie costume with a gun in the lobby of the movie theater.
",الرجل داخل صالة السينما,2.000000
209,"Dog running and catching the ball.
",كلب يمسك بالكرة,4.400000
210,"A dog's coming home.
",عدو الكلب ,4.200000
211,"A man lying on the beach.
",امرأة مستلقية على الشاطئ,2.400000
212,"Two adults and two kids sit on a park bench while someone takes a picture.
",يتهامس طفلان في فصل بينما يرقبهما آخر ,1.200000
213,"Asian woman smiling at a camera.
",فتاة آسيوية صغيرة تتصتع وجها مضحكا لكاميرة التلفزيون,3.600000
214,"A woman hates grey jacket.
",امرأة ترتدي بنطال رمادي,1.000000
215,"A dog's running through the grass.
",كلب يعدو عبر العشب,5.000000
216,"A man of a man who just finished their wedding.
",تستمتع المرأة بيومها في الخارج مع خيولها,0.400000
217,"A noisy kid riding a horse with a horse.
", امرأة تركب ثورا بينما ينتظر المهرجين بأناة,1.000000
218,"A woman and a young man out there with an animal.
",ذكر وامرأة أنثى يعملون بجد,1.600000
219,"A man who sees another man.
",رجل عجوز يغفو قليلا,0.200000
220,"Three girls driving on the beach.
",الفتاتان الصغيرتان تقفزان على السرير,0.800000
221,"Two men read on the train.
",امرأتان تقرآن في القطار,2.600000
222,"A man using a saw at the gallery.
",صبي في المعرض,1.000000
223,"A boy riding a bike ride in the park.
",هناك فتاة تركب الدراجة عبر الحديقة,3.200000
224,"A woman slapping at the beach.
",رجل يسفع على الشاطئ,3.200000
225,"A woman who sings.
",الرجل يغسل,3.200000
226,"The baby helps his mother.
",الطفل يدخر مع صديقه,0.400000
227,"A row of legs and black shoes with a boy sitting at the end of the class.
",رجل يرتدي قميصا رمادي يضع ذراعه على حائط بجوار رجلين في زي رسمي,0.400000
228,"Annex to the annex
",شخص يقود سيارة,0.200000
229,"Women sit down.
",كل النساء جالسات,4.600000
230,"Teenagers on the city bus.
", شخصان في سيارة في أحد شوارع المدينة,1.000000
231,"A group of women are offering to the public.
",النساء يعرضون للجمهور,4.200000
232,"Men like me have sex.
",النساء هن,0.400000
233,"The man has a white scarf and a black scarf around his neck and wears a black hat.
",رجل أسود يرتدي قميصا أسود، وقبعة سوداء، ونظارات شمسية يضع يده حول فمه,1.400000
234,"The orchestra wearing yellow and green uniforms on the field.
",فرقة موسيقية في زي أحمر وأبيض,2.000000
235,"Friends, enjoy a drink abroad.
",زوجان يتحدثان وهما يتمتعان ببعض المشروبات,2.600000
236,"A man blowing up the trumpet in the band.
",رجل يقرع طبل في فرقة موسيقية,2.800000
237,"Scientists hate science.
",الطلاب يشاهدون تجربة علمية,0.400000
238,"The baby haunts the ducks in the garden with happiness.
",الطفل يراقب البط في الحديقة,2.600000
239,"The motorcycle rider in a bike shop.
",دخل الرجل متجر للدراجات,2.600000
240,"A school full of kids.
",حفنة من النساء في مكتبة مع الأطفال,1.000000
241,"Two men and a woman working in the booths.
",هناك أربع نساء ورجل في المطبخ,0.200000
242,"The woman knows the sewing girl.
",سوف تعلم المرأة الفتاة أن تنسج,2.400000
243,"There's a boat fighting in the slope of the river between two rocks.
",هناك زورق في منطقة النهر المنحدرة بين صخرتين ,3.800000
244,"The classmate's room is watching a movie.
", طفل صغير يجلس في غرفته,0.600000
245,"A young man playing a general game control unit.
",مجموعة من الاطفال يلعبون ألعاب الفيديو في منزل أحد الأصدقاء,1.600000
246,"A man who tries to communicate.
",رجل يحاول الوصول للعمل,1.400000
247,"A man in a yellow-skater froze over a barrel.
", شخص على جبل معه طائرة شراعية خضراء,0.200000
248,"Some people don't color flags.
",الناس يلوحون,1.200000
249,A wretched stick by someone with dark clothes.,رجل يسير أمام منزل قديم غيرمطلي ,0.200000
